"","","","","HCO3- input","Charge-balanced HCO3-","Method","Charge Imbalance","[H+] discrepancy","HCO3- discrepancy","Eh","IS","name","year","area","Temperature","Density","log fO2(g)","H+","HCO3-","HCO3-","O2,AQ","HS-","SiO2,AQ","METHANE,AQ","H2,AQ","CO,AQ","F-","Cl-","Br-","SO4-2","PO4-3","NO2-","NO3-","Li+","Na+","NH4+","K+","Mg+2","Ca+2","Be+2","B(OH)3,AQ","Al+3","Ti+4","VO+2","CrO4-2","Mn+2","Fe+2","Co+2","Ni+2","Cu+2","Zn+2","Ga+3","H2AsO4-","Rb+","Sr+2","Y+3","Zr+4","NbO3-","MoO4-2","Cd+2","Sn+2","SbO2-","Cs+","Ba+2","La+3","Hf+4","WO4-2","Tl+","Pb+2","Th+4","U+4","Hg+2"
"File","Sample","pH","Charge-balanced pH","mg/L","mg/L","Type","%","%","mg/L","volts","mol/kg","name","year","area","tempC","g/cm3","fo2lgi","pH","Molality","Alk., mg/L CaCO3","Molality","Molality","Molality","Molality","Molality","Molality","Molality","Molality","Molality","Molality","Molality","Molality","Molality","Molality","Molality","Molality","Molality","Molality","Molality","Molality","Molality","Molality","Molality","Molality","Molality","Molality","Molality","Molality","Molality","Molality","Molality","Molality","Molality","Molality","Molality","Molality","Molality","Molality","Molality","Molality","Molality","Molality","Molality","Molality","Molality","Molality","Molality","Molality","Molality","Molality","Molality","Molality"
"1","140114U","11.355","11.786","10.660672398015","114.999","DIC","18.9226","-62.9319278217423","104.338327601985","-999","1.01340E-02","Sun burn","2014","Falej North","21.7","0.99786216466966","-0.786192644230544","11.355","0.000174717002497918","17","0.000218758203432629","3.39923906941932e-06","7.4301834037879e-06","8.990974107e-08","1.712594083e-08","1.62929603e-07","1.17115125484251e-06","0.00471757679180887","4.57987084501402e-06","0.000175548037889039","1.29717981319266e-12","2.95269119507557e-12","4.21844912465034e-10","1.6208039187437e-06","0.00809273597216181","1.18739589117157e-05","0.000220044503555169","1.61427689775766e-05","0.00117471556886228","4.43842790883469e-10","1.23947830912959e-06","7.3012990382299e-08","1.46198830409357e-09","4.00459350431377e-09","1.92322116466427e-09","2.36630167980116e-10","8.41585044854692e-09","6.78734567272777e-11","6.64469940402158e-10","6.29465269253769e-10","3.51735739409696e-09","5.73698779455847e-11","6.54017086396592e-10","4.4461188892191e-08","1.4380278475234e-06","2.24957075378054e-11","3.94632991318074e-10","6.45811407139101e-11","8.02584948926412e-10","8.89592655523036e-12","4.21194507623621e-11","2.54605484694925e-10","6.32028495456167e-10","3.13121236173513e-08","0","2.29704745363886e-10","2.71975630983464e-11","4.89276765763152e-12","2.41312741312741e-11","0","0","0"
"2","140114V","11.407","-999","14.0607063115004","-999","DIC","-99.9414","Inf","-1013.0607063115","-999","5.26854E-03","Grey Sauce","2014","Falej North","24.4","0.997214851137051","-0.825803993360869","11.407","0.000230439916736053","14","0.000190632148705576","8.29539075656458e-06","2.74606397496921e-06","1.518483495e-06","1.325399218e-06","2.355398965e-07","4.03542772022907e-07","0.00698043418892618","4.64932919503404e-06","1.77495576142396e-05","2.0621832927678e-12","1.87397469422231e-11","2.06149160219856e-11","0","0","0","0","0","0","8.87685581766938e-10","1.1007307372121e-06","1.47137853714582e-07","1.04427736006683e-09","3.49420413611692e-09","6.53895195985853e-10","2.91237129821681e-10","9.84833563127831e-09","1.01810185090917e-10","6.47432249622615e-10","1.07009095773141e-09","7.340571952898e-09","5.73698779455847e-11","4.5380777423437e-10","4.24721357049088e-08","1.55215704177129e-06","4.49914150756109e-11","3.06936771025169e-10","8.61081876185468e-11","8.13008130081301e-10","3.55837062209214e-11","1.34782242439559e-10","2.95670885452171e-10","6.16980197945306e-10","3.0292659127484e-08","1.43982779659553e-11","1.68076642949185e-10","3.26370757180157e-11","0","5.79150579150579e-11","0","0","0"
"3","140111H","10.24","10.147","109.522980276053","104.849","DIC","-1.0630","23.8796586530369","-4.67398027605323","-999","7.59204E-03","Horse Head","2014","Qafifah","20.2","0.998190005466773","-0.693660329309345","10.24","0.00179496434221482","101","0.000278135430078628","1.21624150190233e-06","0.000144985354325467","8.003081254e-06","0.000124788739","1.85737673e-07","2.55284655549941e-06","0.00307851521732999","1.89414797757309e-06","0.000182346726345373","1.4080498826963e-12","3.49598637496946e-12","2.00946657753739e-10","1.28943956202276e-06","0.00359159199652023","3.79789006107718e-06","7.93633945470357e-05","0.00117076733182473","0.000214456087824351","3.32882093162602e-10","3.69993525113311e-06","1.3342475399811e-07","1.33667502088555e-09","4.9075900788159e-09","6.15430772692567e-09","5.62451706968121e-09","7.98610489372751e-09","3.90272376181847e-10","1.03929913755209e-08","3.54074213955245e-09","9.9403578528827e-08","1.72109633836754e-10","1.73514737207259e-09","1.46253910829576e-08","3.08148824469299e-07","7.87349763823191e-11","9.09848285538893e-10","1.72216375237094e-10","6.8688763810715e-09","3.55837062209214e-11","9.26627916771965e-11","1.12929852082426e-08","4.43924776570403e-10","5.36675235022974e-09","1.43982779659553e-11","4.20191607372962e-10","7.07136640557006e-11","4.89276765763152e-12","7.72200772200772e-11","0","4.20117053013311e-11","0"
"4","140114U","11.355","11.786","10.660672398015","114.999","DIC","18.9226","-62.9319278217423","104.338327601985","-999","1.01340E-02","Sun burn","2014","Falej North","21.7","0.99786216466966","-0.786192644230544","11.355","0.000174717002497918","17","0.000218758203432629","3.39923906941932e-06","7.4301834037879e-06","8.990974107e-08","1.712594083e-08","1.62929603e-07","1.17115125484251e-06","0.00471757679180887","4.57987084501402e-06","0.000175548037889039","1.29717981319266e-12","2.95269119507557e-12","4.21844912465034e-10","1.6208039187437e-06","0.00809273597216181","1.18739589117157e-05","0.000220044503555169","1.61427689775766e-05","0.00117471556886228","4.43842790883469e-10","1.23947830912959e-06","7.3012990382299e-08","1.46198830409357e-09","4.00459350431377e-09","1.92322116466427e-09","2.36630167980116e-10","8.41585044854692e-09","6.78734567272777e-11","6.64469940402158e-10","6.29465269253769e-10","3.51735739409696e-09","5.73698779455847e-11","6.54017086396592e-10","4.4461188892191e-08","1.4380278475234e-06","2.24957075378054e-11","3.94632991318074e-10","6.45811407139101e-11","8.02584948926412e-10","8.89592655523036e-12","4.21194507623621e-11","2.54605484694925e-10","6.32028495456167e-10","3.13121236173513e-08","0","2.29704745363886e-10","2.71975630983464e-11","4.89276765763152e-12","2.41312741312741e-11","0","0","0"
